&nbsp;,Time,Freq.,RSSI,SNR,TxPwr,CRC,mod.,CR,DataRate,FCnt,AirTime,DevAddr,FPort,Payload Size,MAC Command
Unconfirmed Data Up,18:47:21,867.5,-44,11,-,CRC_OK,LORA,'4/5',SF7BW125,8842,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 F8 40 03 3C 0C 9E 77 24 70 F0 6F D3 3A 23 0F EF </span>
Unconfirmed Data Up,18:47:21,867.5,-44,10.75,-,CRC_OK,LORA,'4/5',SF7BW125,8841,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 D4 8C 75 7D 7B 37 1C B8 B7 E0 EE 1C 82 6A 18 5C </span>
Unconfirmed Data Up,18:42:21,867.5,-43,9,-,CRC_OK,LORA,'4/5',SF7BW125,8815,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 6C FB 5E 56 33 91 F4 21 1A D5 C1 BC 86 30 D3 E2 </span>
Unconfirmed Data Up,18:42:21,867.5,-44,10.5,-,CRC_OK,LORA,'4/5',SF7BW125,8814,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 4F 0A 8E 08 8D CC 86 16 2B 2A 2D 57 A3 FF 44 05 </span>
Unconfirmed Data Up,18:42:21,867.5,-44,10.5,-,CRC_OK,LORA,'4/5',SF7BW125,8813,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 3C 83 88 02 32 CF 4B F5 C0 DB 91 54 DF FD EE B5 </span>
Unconfirmed Data Up,18:42:21,867.5,-44,10.5,-,CRC_OK,LORA,'4/5',SF7BW125,8812,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 84 4A 77 77 B5 0F 60 E3 CD A9 35 5F 03 D6 83 7B </span>
Unconfirmed Data Up,18:42:21,867.5,-43,8.25,-,CRC_OK,LORA,'4/5',SF7BW125,8811,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 C8 24 2E 8C 56 B3 42 EF 68 97 81 A6 84 60 02 D2 </span>
Unconfirmed Data Up,18:42:21,867.5,-43,9.25,-,CRC_OK,LORA,'4/5',SF7BW125,8810,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 C9 A1 CE 98 93 6E 3D 7F 6B 7E 99 93 01 F9 2C 18 </span>
Unconfirmed Data Up,18:41:21,867.5,-44,10.25,-,CRC_OK,LORA,'4/5',SF7BW125,8809,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 AC 31 A5 5C 12 E0 58 DA 26 BF DD AF 67 16 50 84 </span>
Unconfirmed Data Up,18:41:21,867.5,-43,9,-,CRC_OK,LORA,'4/5',SF7BW125,8808,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 4B 78 D1 74 17 9D 43 76 07 DD DA 79 6E 90 56 31 </span>
Unconfirmed Data Up,18:41:21,867.5,-43,8.75,-,CRC_OK,LORA,'4/5',SF7BW125,8807,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 44 EC A3 F3 6F 9C 89 3E 25 6E C0 F1 08 7F 2C 75 </span>
Unconfirmed Data Up,18:41:21,867.5,-43,9,-,CRC_OK,LORA,'4/5',SF7BW125,8806,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 93 F9 A9 95 B7 5D 7F F7 EC 4A 66 4F E6 4D 78 1A </span>
Unconfirmed Data Up,18:41:21,867.5,-44,10.5,-,CRC_OK,LORA,'4/5',SF7BW125,8805,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 4C D1 10 2D F0 47 BC 23 0A 49 11 9C 53 5E 4A 5D </span>
Unconfirmed Data Up,18:41:21,867.5,-43,9.5,-,CRC_OK,LORA,'4/5',SF7BW125,8804,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 BC BB 63 7C 49 41 A2 E0 97 88 AD 32 F3 D3 07 C7 </span>
Unconfirmed Data Up,18:40:21,867.5,-44,10.5,-,CRC_OK,LORA,'4/5',SF7BW125,8803,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 AC BA 0E 6A 9A 3D 4D 81 59 CB D1 3E C8 EB 53 62 </span>
Unconfirmed Data Up,18:40:21,867.5,-43,9,-,CRC_OK,LORA,'4/5',SF7BW125,8802,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 A0 69 A3 1D A4 61 DF 59 46 54 79 FD EB 1E 28 11 </span>
Unconfirmed Data Up,18:40:21,867.5,-43,9.25,-,CRC_OK,LORA,'4/5',SF7BW125,8801,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 CE 2A AD 80 12 5E DC 75 F2 87 99 78 6E 9B E0 54 </span>
Unconfirmed Data Up,18:40:21,867.5,-43,9,-,CRC_OK,LORA,'4/5',SF7BW125,8800,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 9C 66 5A A3 96 01 33 40 DC 4E 4B 77 29 21 43 F9 </span>
Unconfirmed Data Up,18:40:21,867.5,-43,9.25,-,CRC_OK,LORA,'4/5',SF7BW125,8799,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 8C D6 C2 12 AC 93 C9 B3 55 A2 31 C2 E8 7F 40 D6 </span>
Unconfirmed Data Up,18:40:21,867.5,-44,10.5,-,CRC_OK,LORA,'4/5',SF7BW125,8798,'67',01E4AF00,3,17,,<span class="pkt_l_i">Payload</span><span>03 84 6B E2 12 BB 7D C7 D7 A2 69 9F 27 E6 6B 00 F0 </span>
